Date,Count
20180502,1
20180430,1
20180430,6
20180430,1
20180430,2
20180429,1
20180429,19
20180427,1
20180426,1
20180425,17
20180425,47
20180423,1
20180422,11
20180422,1
20180420,1
20180419,4
20180419,2
20180418,1
20180417,1
20180417,1
20180417,1
20180414,1
20180413,1
20180412,2
20180412,1
20180412,2
20180410,1
20180409,1
20180409,36
20180409,7
20180406,10
20180406,1
20180406,1
20180405,6
20180402,1
20180401,1
20180401,1
20180401,11
20180331,1
20180330,20
20180330,17
20180329,6
20180329,7
20180328,1
20180328,1
20180327,1
20180327,1
20180326,1
20180326,5
20180326,1
20180324,1
20180324,1
20180323,1
20180322,1
20180321,1
20180321,1
20180320,1
20180319,3
20180318,1
20180318,1
20180317,2
20180317,19
20180317,3
20180316,1
20180315,1
20180315,1
20180315,1
20180315,12
20180314,1
20180313,1
20180313,1
20180313,2
20180312,1
20180312,1
20180312,1
20180311,1
20180311,1
20180308,1
20180308,1
20180307,1
20180306,1
20180305,1
20180303,3
20180303,21
20180301,1
20180228,2
20180228,1
20180227,6
20180227,1
20180227,1
20180227,3
20180226,1
20180226,2
20180225,1
20180223,1
20180223,1
20180223,1
20180221,1
20180221,2
20180221,3
20180220,1
20180219,1
20180219,1
20180218,1
20180218,1
20180218,2
20180217,1
20180217,1
20180217,1
20180216,1
20180216,1
20180216,1
20180216,1
20180215,11
20180215,2
20180215,1
20180215,1
20180215,1
20180214,19
20180214,1
20180214,1
20180214,1
20180214,2
20180213,1
20180213,7
20180212,1
20180212,1
20180212,1
20180211,1
20180211,1
20180211,5
20180211,4
20180210,1
20180210,1
20180209,3
20180209,7
20180208,1
20180208,25
20180208,3
20180207,2
20180205,1
20180205,1
20180203,1
20180203,47
20180202,1
20180201,1
20180201,100
20180131,1
20180131,1
20180131,1
20180131,1
20180131,1
20180131,1
20180129,1
20180128,1
20180127,1
20180127,34
20180126,2
20180126,1
20180126,1
20180125,1
20180124,1
20180124,1
20180123,1
20180123,1
20180123,3
20180123,1
20180123,30
20180122,1
20180122,3
20180121,5
20180121,1
20180120,2
20180120,1
20180119,16
20180119,1
20180119,1
20180118,52
20180117,1
20180116,3
20180116,2
20180115,7
20180115,1
20180114,1
20180114,1
20180113,1
20180113,1
20180112,1
20180111,1
20180110,18
20180109,1
20180109,100
20180109,11
20180107,12
20180106,64
20180105,4
20180104,1
20180104,1
20180103,1
20180102,1
20180102,1
20180102,1
20180102,1
20180101,4
20171231,4
20171231,1
20171231,2
20171231,7
20171231,48
20171231,3
20171231,1
20171231,2
20171231,1
20171231,2
20171231,4
20171230,1
20171229,1
20171228,1
20171228,1
20171227,2
20171227,1
20171227,1
20171226,2
20171226,1
20171225,1
20171225,1
20171225,1
20171224,1
20171223,2
20171223,1
20171223,3
20171223,1
20171223,1
20171223,1
20171222,1
20171222,1
20171222,1
20171221,2
20171221,1
20171221,2
20171221,2
20171221,7
20171221,1
20171220,3
20171220,1
20171220,2
20171220,4
20171220,1
20171220,1
20171220,1
20171219,1
20171219,1
20171219,1
20171219,6
20171218,1
20171218,1
20171217,3
20171216,5
20171216,7
20171216,3
20171216,3
20171216,5
20171215,1
20171215,4
20171215,1
20171214,1
20171214,1
20171214,1
20171213,7
20171213,2
20171213,1
20171213,3
20171213,3
20171213,1
20171212,4
20171212,3
20171212,1
20171211,1
20171211,1
20171211,1
20171211,1
20171211,1
20171210,1
20171210,1
20171210,1
20171209,3
20171209,2
20171209,2
20171209,1
20171209,2
20171208,1
20171208,8
20171208,1
20171208,1
20171208,5
20171208,2
20171207,1
20171207,4
20171207,1
20171207,1
20171207,1
20171207,1
20171206,12
20171206,3
20171206,2
20171206,2
20171206,1
20171205,3
20171204,3
20171204,1
20171204,3
20171204,1
20171203,10
20171203,3
20171203,1
20171203,1
20171203,2
20171203,1
20171202,3
20171201,10
20171130,3
20171130,14
20171130,2
20171130,28
20171130,1
20171129,4
20171129,1
20171129,1
20171129,1
20171128,1
20171128,1
20171128,4
20171128,1
20171128,1
20171127,1
20171127,2
20171127,1
20171127,1
20171126,1
20171126,3
20171126,1
20171126,2
20171125,1
20171125,31
20171125,1
20171125,1
20171125,6
20171125,1
20171125,3
20171124,1
20171124,1
20171124,20
20171124,1
20171124,2
20171123,21
20171123,1
20171122,1
20171122,6
20171122,3
20171122,1
20171122,1
20171122,1
20171122,3
20171121,1
20171121,1
20171121,1
20171120,2
20171119,4
20171119,5
20171119,1
20171118,5
20171118,20
20171118,3
20171118,1
20171117,1
20171117,1
20171117,1
20171117,3
20171116,1
20171116,1
20171116,1
20171116,2
20171116,1
20171115,15
20171115,1
20171115,5
20171115,2
20171115,1
20171115,2
20171115,2
20171114,2
20171114,1
20171114,3
20171114,2
20171114,1
20171113,2
20171113,1
20171113,1
20171113,2
20171112,2
20171112,2
20171112,1
20171112,1
20171112,3
20171112,1
20171111,1
20171111,1
20171111,1
20171111,1
20171111,1
20171111,1
20171110,2
20171110,1
20171109,1
20171109,2
20171109,1
20171109,1
20171109,1
20171108,1
20171108,1
20171108,2
20171108,2
20171107,1
20171107,1
20171107,5
20171107,2
20171106,34
20171106,1
20171106,1
20171106,1
20171106,4
20171106,3
20171105,1
20171105,1
20171104,1
20171104,5
20171104,1
20171103,10
20171103,76
20171103,14
20171103,1
20171102,6
20171102,3
20171101,8
20171101,1
20171101,1
20171031,4
20171031,1
20171031,3
20171030,2
20171030,3
20171030,1
20171030,1
20171030,2
20171030,2
20171030,5
20171030,3
20171030,5
20171029,5
20171029,2
20171029,1
20171028,6
20171028,1
20171027,1
20171026,1
20171026,4
20171025,1
20171025,1
20171025,3
20171024,1
20171024,1
20171024,4
20171024,4
20171024,3
20171023,8
20171023,3
20171023,10
20171023,8
20171023,2
20171023,4
20171023,2
20171023,7
20171023,3
20171022,8
20171022,1
20171022,1
20171022,1
20171022,2
20171022,2
20171022,3
20171022,2
20171022,1
20171022,6
20171022,1
20171021,6
20171021,3
20171021,2
20171021,1
20171021,1
20171021,1
20171021,1
20171020,1
20171020,1
20171020,1
20171020,1
20171020,3
20171020,2
20171020,5
20171019,1
20171019,1
20171019,2
20171019,1
20171019,3
20171018,1
20171018,6
20171018,3
20171017,1
20171016,41
20171016,1
20171016,1
20171016,6
20171016,2
20171015,1
20171015,37
20171015,2
20171015,2
20171015,7
20171015,15
20171014,1
20171014,1
20171014,3
20171013,28
20171013,1
20171013,1
20171013,1
20171012,1
20171012,1
20171011,4
20171011,1
20171010,1
20171010,1
20171009,11
20171008,31
20171008,1
20171008,49
20171008,1
20171008,1
20171008,1
20171008,1
20171008,1
20171007,1
20171007,3
20171007,2
20171005,1
20171005,1
20171004,1
20171004,1
20171003,68
20171003,1
20171003,3
20171003,6
20171002,1
20171002,1
20171001,1
20171001,1
20171001,3
20171001,1
20171001,2
20171001,3
20171001,1
20170930,1
20170930,2
20170930,1
20170930,6
20170930,1
20170930,1
20170930,6
20170930,6
20170929,1
20170929,1
20170929,2
20170928,1
20170928,63
20170928,1
20170928,3
20170928,4
20170927,1
20170927,2
20170926,2
20170926,2
20170926,1
20170925,3
20170925,1
20170925,1
20170925,1
20170925,1
20170924,2
20170924,1
20170923,3
20170923,3
20170922,38
20170922,1
20170922,1
20170922,2
20170922,1
20170921,2
20170921,1
20170921,1
20170920,97
20170920,1
20170920,1
20170920,1
20170920,5
20170919,23
20170919,1
20170919,1
20170919,1
20170919,3
20170919,2
20170919,3
20170919,1
20170919,1
20170919,1
20170919,1
20170919,1
20170919,1
20170918,16
20170918,1
20170918,1
20170918,2
20170917,2
20170917,1
20170916,1
20170916,1
20170916,1
20170916,1
20170916,1
20170916,1
20170916,1
20170916,1
20170916,1
20170915,3
20170915,1
20170915,3
20170915,1
20170914,1
20170914,1
20170914,4
20170914,1
20170914,6
20170914,4
20170913,7
20170913,1
20170913,9
20170913,1
20170913,1
20170913,4
20170912,2
20170912,2
20170912,1
20170912,1
20170912,1
20170911,1
20170911,3
20170911,1
